location_name,colony_int_name,colony_nat_name,lat,lon
Stakksey,Breidafjordur,Breiðafjörður,78.36400,16.14100
Steinsvågen,Runde and Aalesund,Runde and Ålesund,62.47111,6.12861
Stora Dimun,Faroe Islands,Føroyar,66.58500,12.22900
Store Torungen,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Store Vengelsholmen,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Storøy,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Storøytåa,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Storskjær,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
Sundi,Faroe Islands,Føroyar,66.58500,12.22900
Svarthellaren,Loppa,Loppa,71.10927,24.74736
Sydrugøtu grotbrot,Faroe Islands,Føroyar,66.58500,12.22900
Sydrugøtu waterfront,Faroe Islands,Føroyar,66.58500,12.22900
Tikhaya Bay,Franz Josef Land,Zemlya Frantsa-Iosifa,64.74000,10.77000
Veshnyak Island,Seven Islands,Sem' Ostrovov,78.89700,12.19300
Vestmanna,Faroe Islands,Føroyar,66.58500,12.22900
Vestre Røysa,Mandal and Lindesnes,Mandal and Lindesnes,70.84875,23.06400
testlocation,testcolony,testcolonü,58.00528,7.44306













































































