"date_time","logger","logger_id","logger_model","year_tracked","year_deployed","year_retrieved","ring_number","euring_code","species","colony","lon_raw","lat_raw","lon_smooth1","lat_smooth1","lon_smooth2","lat_smooth2","disttocol_s2","eqfilter1","eqfilter2","eqfilter3","lat_smooth2_eqfilt3","sex","morph","subspecies","age","col_lon","col_lat","tfirst","tsecond","twl_type","conf","sun","software","light_threshold","analyzer","data_responsible","logger_yeartracked","posdata_file","session_id"
"2015-07-26 11:02:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",16.1337192140408,64.5810420609219,12.2586438895846,65.2053330179712,12.2586438895846,65.2053330179712,58.9295618044189,1,1,1,65.2053330179712,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-26 00:54:00","2015-07-26 21:10:00",1,2,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-27 23:27:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",9.8813221762224,64.0902829060643,9.8813221762224,64.0902829060643,9.47640352211597,64.2214450534686,130.725488519118,1,1,1,64.2214450534686,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-27 21:20:00","2015-07-28 01:34:00",2,2,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-28 11:33:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",8.25396723427446,64.6126688961679,9.06764470524843,64.3514759011161,9.37529280974418,64.6687953291367,96.6222019703226,1,1,1,64.6687953291367,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-28 01:34:00","2015-07-28 21:33:00",1,2,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-28 23:22:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",11.1264676153222,65.3582527610047,9.69021742479833,64.9854608285863,10.6826535842874,65.1494506747073,15.7086706451006,1,1,1,65.1494506747073,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-28 21:33:00","2015-07-29 01:11:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-29 11:17:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",12.2478936417758,65.25535654677,11.687180628549,65.3068046538874,10.9287454913851,65.0760898454299,14.3390757347596,1,1,1,65.0760898454299,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-29 01:11:00","2015-07-29 21:24:00",1,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-29 23:34:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",8.11900026813078,64.4278524384448,10.1834469549533,64.8416044926074,9.73842013783838,64.5094054271333,97.2366266732792,1,1,1,64.5094054271333,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-29 21:24:00","2015-07-30 01:44:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-30 11:24:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",10.4892155711286,63.9239393213424,9.3041079196297,64.1758958798936,10.3009669852547,64.1983556795878,116.369582629678,1,1,1,64.1983556795878,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-30 01:44:00","2015-07-30 21:05:00",1,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-30 23:18:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",12.1091814997341,64.5040787331813,11.2991985354313,64.2140090272619,11.0803643957214,64.5494908342024,72.6675349337379,1,1,1,64.5494908342024,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-30 21:05:00","2015-07-31 01:31:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-31 11:28:00","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",9.60298083746102,65.2652017578285,10.8560811685975,64.8846402455049,9.7637402116288,64.9998025367615,61.870372073948,1,1,1,64.9998025367615,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-31 01:31:00","2015-07-31 21:25:00",1,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
"2015-07-31 23:35:30","C406_mk4083","C406","mk4083","2015_16",2015,2016,6136807,"NOS","Black-legged kittiwake","Sklinna",7.72156718637314,64.9486394058513,8.66227401191708,65.1069205818399,8.28287626081641,65.0404086330586,128.128146700584,1,1,1,65.0404086330586,NA,NA,NA,"adult_unknown",10.995,65.202,"2015-07-31 21:25:00","2015-08-01 01:46:00",2,9,-3.25,"Biotrack",1,"VS_Bråthen","SH_Lorentsen","C406_mk4083_2015_16","posdata_RISTRI_sklinna_2016","B1263_2016-01-01"
